2014-06-19,pm,193.2,24.3,50.6,138.9,2961,7.3
2014-06-20,am,191.8,26.2,49.5,135.1,2871,6.8
2014-06-20,pm,193.2,24.4,50.5,138.7,2953,7.1
2014-06-21,am,191.0,25.2,49.9,135.4,2868,7.1
2014-06-21,pm,192.8,22.9,51.4,141.3,3006,7.3
2014-06-22,am,191.0,24.9,50.1,137.3,2911,7.1
2014-06-22,pm,197.0,26.1,49.6,139.1,2994,7.1
2014-06-23,am,191.8,24.7,50.3,137.8,2925,7.1
2014-06-23,pm,195.2,24.7,50.4,139.3,2985,7.3
2014-06-24,am,190.8,25.8,49.6,134.9,2859,7.1
2014-06-24,pm,194.8,25.3,50.0,137.1,2935,7.1
2014-06-25,am,192.2,26.6,49.2,133.4,2840,6.8
2014-06-25,pm,193.4,23.4,51.1,141.1,3005,7.3
2014-06-26,am,192.2,23.9,50.8,138.7,2946,7.3
2014-06-26,pm,195.4,23.1,51.4,142.2,3043,7.5
2014-06-27,am,193.2,24.5,50.4,138.7,2953,7.1
2014-06-27,pm,194.6,23.9,50.8,139.8,2989,7.3
2014-06-28,am,190.4,23.0,51.3,140.0,2959,7.3
2014-06-28,pm,192.6,21.6,52.4,143.7,3053,7.3
2014-06-29,am,189.6,24.0,50.6,137.1,2893,7.1
2014-06-29,pm,193.6,25.6,49.8,136.5,2914,7.1
2014-06-30,am,190.0,23.8,50.7,137.6,2906,7.1
2014-06-30,pm,195.2,23.5,51.1,142.0,3039,7.3
2014-07-01,am,190.8,24.2,50.5,137.6,2912,7.1
2014-07-01,pm,195.8,23.1,51.4,144.2,3081,7.5
2014-07-02,am,192.6,23.5,51.0,140.7,2990,7.3
